white_matter	csf
3902.3981703654567	3628.6015321264395
3901.8608845415665	3629.3568904976587
3897.507562777622	3612.177852313583
3895.0251729319943	3625.967970873375
3888.9875373177706	3602.901107317048
3892.7899794381588	3611.186444451358
3896.7657097645815	3597.3426782799734
3906.0710092731056	3625.9808463001573
3903.5351680006356	3618.865027098559
3900.19531168539	3627.1578748984916
3890.913108472415	3609.983664999459
3894.6528606477414	3618.907408711717
3893.4047368362626	3607.154289964083
3897.3263558416847	3614.141891373976
3899.4974076233093	3629.1573213825354
3898.991004846039	3632.627785376439
3904.0731137186845	3628.369774444361
3898.7356258066807	3626.1391067543545
3902.376921773551	3621.216938390764
3900.7389324932024	3622.083347317979
3900.3637166746516	3625.3917955248744
3905.542961967435	3639.109489809017
3897.273432330169	3613.0893252345354
3895.5616668828943	3626.9652799728756
3895.6046919820315	3609.083458076941
